"Record Type"	"Dataset Group / Study ID"	"Sources / Row ID"	"Overlap Assessment"	"Primary Quantitative Source"	"Rows Affected"	"Independent Use Rule"	"Review Status"
"Experimental-row flag"	"T1-008"	"T1-008-THIO-17716-40-1"	"Duplicate dataset; use T1-006"	""	"T1-008-THIO-17716-40-1"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-THIO-17716-40-2"	"Duplicate dataset; use T1-006"	""	"T1-008-THIO-17716-40-2"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-CH3SCN-17716-49"	"Duplicate dataset; use T1-006"	""	"T1-008-CH3SCN-17716-49"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-HCN-16655-39-K"	"Duplicate dataset; use T1-006"	""	"T1-008-HCN-16655-39-K"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-HCN-16655-39-S"	"Duplicate dataset; use T1-006"	""	"T1-008-HCN-16655-39-S"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-HCN-16655-50"	"Duplicate dataset; use T1-006"	""	"T1-008-HCN-16655-50"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-HCN-16655-68"	"Duplicate dataset; use T1-006"	""	"T1-008-HCN-16655-68"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-CH3CN-17203-38"	"Duplicate dataset; use T1-006"	""	"T1-008-CH3CN-17203-38"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-CH3NH2-17716-49"	"Duplicate dataset; use T1-006"	""	"T1-008-CH3NH2-17716-49"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-CH3CL-17716-34"	"Duplicate dataset; use T1-006"	""	"T1-008-CH3CL-17716-34"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-008"	"T1-008-CH3F-17716-52"	"Duplicate dataset; use T1-006"	""	"T1-008-CH3F-17716-52"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-010"	"T1-010-PDCE-X"	"Possible duplicate"	""	"T1-010-PDCE-X"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-010"	"T1-010-PDCE-S"	"Possible duplicate"	""	"T1-010-PDCE-S"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-012"	"T1-012-PDCE-Y"	"Possible overlap with T1-010; preferred paired result"	""	"T1-012-PDCE-Y"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-012"	"T1-012-PDCE-X"	"Possible duplicate"	""	"T1-012-PDCE-X"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-012"	"T1-012-PDCE-S"	"Possible duplicate"	""	"T1-012-PDCE-S"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-015"	"T1-015-AS-NOGUARD"	"Possible duplicate"	""	"T1-015-AS-NOGUARD"	"Do not treat as an independent replicate until resolved."	"Flagged"
"Experimental-row flag"	"T1-015"	"T1-015-COS-NOGUARD"	"Possible duplicate"	""	"T1-015-COS-NOGUARD"	"Do not treat as an independent replicate until resolved."	"Flagged"
